Timestamp,Open price,Close price,High price,Low price,Volume
2022-08-05 00:15:00,22496,22520,22524,22483,1757341
2022-08-05 00:30:00,22520,22524,22524.5,22488.5,926834
2022-08-05 00:45:00,22524,22486,22532,22480.5,1403087
2022-08-05 01:00:00,22486,22475,22524,22445.5,2923316
2022-08-05 01:15:00,22475,22541.5,22567.5,22474.5,5645727
2022-08-05 01:30:00,22541.5,22588,22604.5,22541.5,3961807
2022-08-05 01:45:00,22588,22612,22625,22579.5,4696714
2022-08-05 02:00:00,22612,22626,22658,22598.5,6402351
2022-08-05 02:15:00,22626,22606,22639.5,22586.5,4386591
2022-08-05 02:30:00,22606,22630.5,22653,22562,2439085
2022-08-05 02:45:00,22630.5,22611,22653.5,22593.5,2241668
2022-08-05 03:00:00,22611,22640.5,22677,22580,8645542
2022-08-05 03:15:00,22640.5,22633,22662,22615,1842890
2022-08-05 03:30:00,22633,22639,22665,22627.5,1575953
2022-08-05 03:45:00,22639,22626,22665,22609,2033393
2022-08-05 04:00:00,22626,22658.5,22700,22626,2735383
2022-08-05 04:15:00,22658.5,22658.5,22673,22634.5,1599853
2022-08-05 04:30:00,22658.5,22750.5,22775,22652.5,10894363
2022-08-05 04:45:00,22750.5,22882,22901,22734.5,24690833
2022-08-05 05:00:00,22882,22883,22952.5,22856.5,11801222
2022-08-05 05:15:00,22883,22966,22966,22883,4289744
2022-08-05 05:30:00,22966,23057.5,23100,22965.5,23435788
2022-08-05 05:45:00,23057.5,23039,23108,23022,6564140
2022-08-05 06:00:00,23039,23044,23093,23039,3780735
2022-08-05 06:15:00,23044,23168.5,23200,23040,11948734
2022-08-05 06:30:00,23168.5,23139.5,23182.5,23116,7852718
2022-08-05 06:45:00,23139.5,23164,23191,23127,4320354
2022-08-05 07:00:00,23164,23194.5,23239,23135,10556451
2022-08-05 07:15:00,23194.5,23170.5,23205,23137,4367348
2022-08-05 07:30:00,23170.5,23119.5,23171,23119.5,3771016
2022-08-05 07:45:00,23119.5,23150.5,23156,23095,3327184
2022-08-05 08:00:00,23150.5,23085.5,23156.5,23065.5,5350367
