,predicted_mean
303,3.452184466343063
304,3.5110952618822435
305,3.5751517613197636
306,3.6011427534624754
307,3.601262539460331
308,3.689189390614637
309,3.7354316461714125
310,3.707940052550993
311,3.669169014272211
312,3.7154126375235093
313,3.652713428279294
314,3.601845341123696
315,3.606232035557398
316,3.5623506760693546
317,3.5327203206306526
318,3.533999657940405
319,3.5492112130622866
320,3.571419131083176
321,3.610047856353532
322,3.605993984853361
323,3.5460020332524818
324,3.5621445389061432
325,3.5663101119497016
326,3.554886044087187
327,3.590227927313512
328,3.5788039738290744
329,3.570092486720946
330,3.531589224233185
331,3.52150379442362
332,3.5017000579536366
333,3.4333527033626097
334,3.3661955532573007
335,3.4084479334360487
336,3.405048940741556
337,3.4166019746388065
338,3.395676903833044
339,3.3859387169263293
340,3.3853411356033107
341,3.343908582611275
342,3.350255395795836
343,3.3611179516711887
344,3.3794073095576267
345,3.3894011458717896
346,3.3992681527787503
347,3.402191637934462
348,3.4241515349419416
349,3.458374329710378
350,3.4296202834720266
351,3.4424637156775577
352,3.45206055789267
353,3.449536264478838
354,3.442579417656031
355,3.4332153236024263
356,3.369761270477721
357,3.357779017559073
358,3.3972077476982125
359,3.419009828077616
360,3.409974561130402
361,3.406299367708256
362,3.3714112122346958
363,3.286461625147585
364,3.278542554419608
365,3.2874478413186465
366,3.3021850610298324
367,3.324495893405466
368,3.2797742189191483
369,3.284123512443212
370,3.309653890499768
371,3.314996253408845
372,3.315515808621621
373,3.325746149921379
374,3.3345786543892495
375,3.3474312608328742
376,3.328958628963423
377,3.315474700048904
378,3.261970033957928
379,3.2476762648272723
380,3.2299808390484173
381,3.200798554254398
382,3.1802677992813635
383,3.540844987367582
384,3.4169528311003097
385,3.4196754745022555
386,3.4571380929113764
387,3.444880698933914
388,3.4553211607114442
389,3.512071673819802
390,3.5327630916517307
391,3.545176531452739
392,3.5203120787999955
393,3.5206068482219015
394,3.531426110496375
395,3.529342088544037
396,3.5437040938381914
397,3.592024232428922
398,3.6254488402151175
399,3.6617955929208987
400,3.685612608115258
401,3.62704186217231
402,3.571238888534023
403,3.522423358039577
404,3.488113738988119
405,3.4922649793658342
406,3.491723683926508
407,3.4816616966791103
408,3.4521831788631947
409,3.444448701810359
410,3.4590134680224995
411,3.4219808435293593
412,3.4342069033714884
413,3.447769336013835
414,3.4686614468686727
415,3.438219555612386
416,3.406012100563794
417,3.441829955697626
418,3.4249079862255956
419,3.432848464030222
420,3.4468915328343956
421,3.444131033890421
422,3.441145489720422
423,3.440272042765737
424,3.432786478978938
